hour,updated_type,updated_subtype,latitude_bin,longitude_bin,alert_count
0:00,Accident,Unclassified,41.89,-87.74,1
0:00,Accident,Unclassified,41.89,-87.71,1
0:00,Accident,Unclassified,41.89,-87.7,2
0:00,Accident,Unclassified,41.89,-87.69,1
0:00,Accident,Unclassified,41.89,-87.66,1
0:00,Accident,Unclassified,41.89,-87.65,27
0:00,Accident,Unclassified,41.89,-87.64,8
0:00,Accident,Unclassified,41.89,-87.63,9
0:00,Accident,Unclassified,41.89,-87.62,9
0:00,Accident,Unclassified,41.89,-87.61,8
0:00,Accident,Unclassified,41.9,-87.72,2
0:00,Accident,Unclassified,41.9,-87.71,2
0:00,Accident,Unclassified,41.9,-87.7,1
0:00,Accident,Unclassified,41.9,-87.69,1
0:00,Accident,Unclassified,41.9,-87.68,1
0:00,Accident,Unclassified,41.9,-87.67,3
0:00,Accident,Unclassified,41.9,-87.66,18
0:00,Accident,Unclassified,41.9,-87.65,3
0:00,Accident,Unclassified,41.9,-87.64,2
0:00,Accident,Unclassified,41.9,-87.63,3
0:00,Accident,Unclassified,41.9,-87.62,32
0:00,Accident,Unclassified,41.91,-87.75,1
0:00,Accident,Unclassified,41.91,-87.73,2
0:00,Accident,Unclassified,41.91,-87.7,1
0:00,Accident,Unclassified,41.91,-87.69,3
0:00,Accident,Unclassified,41.91,-87.68,2
0:00,Accident,Unclassified,41.91,-87.67,8
0:00,Accident,Unclassified,41.91,-87.66,7
0:00,Accident,Unclassified,41.91,-87.65,5
0:00,Accident,Unclassified,41.91,-87.64,1
0:00,Accident,Unclassified,41.91,-87.63,7
0:00,Accident,Unclassified,41.92,-87.81,1
0:00,Accident,Unclassified,41.92,-87.77,1
0:00,Accident,Unclassified,41.92,-87.76,2
0:00,Accident,Unclassified,41.92,-87.75,3
0:00,Accident,Unclassified,41.92,-87.74,1
0:00,Accident,Unclassified,41.92,-87.73,2
0:00,Accident,Unclassified,41.92,-87.71,2
0:00,Accident,Unclassified,41.92,-87.7,3
0:00,Accident,Unclassified,41.92,-87.69,2
0:00,Accident,Unclassified,41.92,-87.68,7
0:00,Accident,Unclassified,41.92,-87.67,16
0:00,Accident,Unclassified,41.92,-87.66,1
0:00,Accident,Unclassified,41.92,-87.64,1
0:00,Accident,Unclassified,41.92,-87.63,8
0:00,Accident,Unclassified,41.93,-87.81,4
0:00,Accident,Unclassified,41.93,-87.79,1
0:00,Accident,Unclassified,41.93,-87.77,1
0:00,Accident,Unclassified,41.93,-87.76,1
0:00,Accident,Unclassified,41.93,-87.75,1
0:00,Accident,Unclassified,41.93,-87.73,1
0:00,Accident,Unclassified,41.93,-87.7,13
0:00,Accident,Unclassified,41.93,-87.69,8
0:00,Accident,Unclassified,41.93,-87.68,4
0:00,Accident,Unclassified,41.93,-87.67,3
0:00,Accident,Unclassified,41.93,-87.66,1
0:00,Accident,Unclassified,41.93,-87.65,5
0:00,Accident,Unclassified,41.93,-87.64,3
0:00,Accident,Unclassified,41.93,-87.63,4
0:00,Accident,Unclassified,41.94,-87.84,1
0:00,Accident,Unclassified,41.94,-87.81,1
